C,Penalty,Loss,Precision,Recall,F1 Score,Training Time,Prediction Time,Accuracy
0.153,l1,,0.8665527714502658,0.9059337170073427,0.8858057630736393,1.0726399421691895,0.0007851123809814453,0.8823
0.154,l1,,0.8667425968109339,0.9061321690811669,0.8859998059571166,0.8484082221984863,0.0007951259613037109,0.8825
0.155,l1,,0.8668818837827573,0.9059337170073427,0.8859776807375062,0.994251012802124,0.0008029937744140625,0.8825
0.156,l1,,0.8668818837827573,0.9059337170073427,0.8859776807375062,0.8862471580505371,0.0007779598236083984,0.8825
0.157,l1,,0.8669071577748244,0.9061321690811669,0.886085775276538,0.8686761856079102,0.0015368461608886719,0.8826
0.158,l1,,0.8669071577748244,0.9061321690811669,0.886085775276538,0.9601128101348877,0.0009601116180419922,0.8826
0.159,l1,,0.8672616786935055,0.9063306211549911,0.8863658418243571,1.0625159740447998,0.0007901191711425781,0.8829
0.16,l1,,0.8678062678062678,0.9067275253026394,0.8868400621118012,1.0254199504852295,0.0008981227874755859,0.8834
0.161,l1,,0.8684910680349677,0.9069259773764636,0.887292495874187,1.0374300479888916,0.0007908344268798828,0.8839
0.162,l1,,0.8686061988971288,0.9065290732288153,0.8871625558360847,0.8764348030090332,0.0008630752563476562,0.8838
0.163,l1,,0.868556210766597,0.9061321690811669,0.886946386946387,0.9369111061096191,0.0008387565612792969,0.8836
0.164,l1,,0.8686964795432921,0.9059337170073427,0.8869244219933942,1.018704891204834,0.0008718967437744141,0.8836
0.165,l1,,0.8686964795432921,0.9059337170073427,0.8869244219933942,0.894798755645752,0.0008389949798583984,0.8836
0.166,l1,,0.8690521507422916,0.9061321690811669,0.8872048965316235,0.8168449401855469,0.000827789306640625,0.8839
0.167,l1,,0.8691677775661779,0.9057352649335185,0.8870748299319728,1.0290989875793457,0.0008101463317871094,0.8838
0.168,l1,,0.8693333333333333,0.9057352649335185,0.8871610457770435,0.8782429695129395,0.0008189678192138672,0.8839
0.169,l1,,0.8691926884996192,0.9059337170073427,0.8871829754154115,0.8680601119995117,0.00078582763671875,0.8839
